date,price(USD)
5/1/13,139
5/2/13,116.38
5/3/13,106.25
5/4/13,98.1
5/5/13,112.9
5/6/13,115.98
5/7/13,112.25
5/8/13,109.6
5/9/13,113.2
5/10/13,112.8
5/11/13,117.7
5/12/13,115.64
5/13/13,114.82
5/14/13,117.98
5/15/13,111.4
5/16/13,114.22
5/17/13,118.21
5/18/13,123.5
5/19/13,123.21
5/20/13,122.5
5/21/13,122.02
5/22/13,122.89
5/23/13,123.8
5/24/13,126.3
5/25/13,133.1
5/26/13,131.99
5/27/13,133.5
5/28/13,129.77
5/29/13,129
5/30/13,132.25
5/31/13,128.8
6/1/13,128.81
6/2/13,129.3
6/3/13,122.5
6/4/13,120.74
6/5/13,121.4
6/6/13,121.9
6/7/13,118.97
6/8/13,111
6/9/13,107.89
6/10/13,100.44
6/11/13,106.35
6/12/13,109
6/13/13,108.78
6/14/13,103.95
6/15/13,100
6/16/13,99.8
6/17/13,99.9
6/18/13,101.95
6/19/13,107.05
6/20/13,108.25
6/21/13,111.29
6/22/13,109.5
6/23/13,108.2
6/24/13,107.9
6/25/13,102.09
6/26/13,103.33
6/27/13,104
6/28/13,101.74
6/29/13,94.66
6/30/13,95
7/1/13,97.51
7/2/13,88.05
7/3/13,90.41
7/4/13,78.89
7/5/13,79.99
7/6/13,68.5
7/7/13,68.75
7/8/13,76.5
7/9/13,76
7/10/13,76.72
7/11/13,88
7/12/13,88.98
7/13/13,93.99
7/14/13,98.7
7/15/13,93.61
7/16/13,98.89
7/17/13,96.71
7/18/13,98.5
7/19/13,90.07
7/20/13,92
7/21/13,89.82
7/22/13,92
7/23/13,91.6
7/24/13,95.56
7/25/13,94.5
7/26/13,96.95
7/27/13,96.02
7/28/13,94.4
7/29/13,98.6
7/30/13,101.49
7/31/13,107.95
8/1/13,106.21
8/2/13,104.86
8/3/13,104.5
8/4/13,104.95
8/5/13,105.12
8/6/13,106.72
8/7/13,106.75
8/8/13,106.75
8/9/13,103.07
8/10/13,102.8
8/11/13,103
8/12/13,105
8/13/13,106.99
8/14/13,109.56
8/15/13,112.56
8/16/13,110
8/17/13,108.99
8/18/13,112.75
8/19/13,113.38
8/20/13,119
8/21/13,121.21
8/22/13,123.3
8/23/13,122
8/24/13,118.51
8/25/13,119.6
8/26/13,122.11
8/27/13,120.07
8/28/13,126.48
8/29/13,122.62
8/30/13,122.35
8/31/13,133.09
9/1/13,135.14
9/2/13,138.63
9/3/13,135.61
9/4/13,136.53
9/5/13,126.76
9/6/13,126.49
