,0,1,2
0,"Apr 27, 2018 ", blockchains warrant skepticism but keep an open mind ,-0.128
1,"Apr 26, 2018 "," bitcoin: the past, present and future ",0.0
2,"Apr 26, 2018 ", pantera's morehead says bitcoin 'is a screaming buy' ,-0.3818
3,"Apr 26, 2018 "," pantera ceo says bitcoin is ‘screaming buy,’ bets on icon ",0.0
4,"Apr 26, 2018 ", crypto world gains even more options: five new fundstrat indexes ,0.34
5,"Apr 25, 2018 ", central bankers can’t agree on cryptocurrencies ,0.3612
6,"Apr 25, 2018 ", a software bug in ethereum tokens is helping halt the crypto rally ,0.296
7,"Apr 25, 2018 ", vc firm with rockefeller roots turns to crypto startups ,0.0
8,"Apr 25, 2018 "," ritholtz's reads: bitcoin's scam, fake video and mosquitoes ",-0.7783
9,"Apr 25, 2018 ", winklevoss twins hire nasdaq to keep cheaters off crypto market ,-0.4404
10,"Apr 25, 2018 ", crypto billionaire sued by sequoia after deal falls apart ,0.0
11,"Apr 25, 2018 ", why some cryptocurrencies are only for the wealthy ,0.3612
12,"Apr 24, 2018 ", bitcoin surges while u.s. stocks slump ,0.0
13,"Apr 24, 2018 ", bitcoin is one of the few things surging in a sea of losses ,-0.4019
14,"Apr 24, 2018 ", crypto’s april rally climbs to almost 75% ,0.0
15,"Apr 24, 2018 ", chinese #metoo student activists use blockchain to fight censors ,-0.5859
16,"Apr 23, 2018 ", former cftc head says big cryptocurrencies could be classified as securities ,0.296
17,"Apr 23, 2018 ", bitcoin rival accused of trying to artificially boost its price ,0.128
18,"Apr 23, 2018 ", iran’s central bank imposes ban on cryptocurrency transactions ,-0.6124
19,"Apr 23, 2018 ", goldman sachs hires crypto trader justin schmidt to lead digital assets ,0.1779
20,"Apr 23, 2018 "," bitcoin breaches $9,000 for the first time in a month ",0.0
21,"Apr 21, 2018 "," ritholtz's reads: seeing red in dyes, bitcoin and demographics ",0.0
22,"Apr 20, 2018 ", how much is bitcoin really worth? ,0.2944
23,"Apr 20, 2018 ", kraken defies n.y. attorney general’s cryptocurrency inquiry ,0.0
24,"Apr 20, 2018 ", bitcoin is about to have its first back-to-back weekly gain in 2018 ,0.5267
25,"Apr 20, 2018 ", four harvard students jump on the crypto hedge-fund bandwagon ,0.0
26,"Apr 20, 2018 ", crypto exchange binance denies it will introduce dollar trading ,-0.4215
27,"Apr 19, 2018 ", purpose is first question to ask of a cryptocurrency ,0.0
28,"Apr 19, 2018 "," as bitcoin plunged, these crypto hedge funds kept making money ",0.0
29,"Apr 19, 2018 ", many bitcoin miners are at risk of turning unprofitable ,-0.2732
30,"Apr 19, 2018 ", sweden's very own bitcoin. what could possibly go wrong? ,-0.4767
31,"Apr 19, 2018 ", what bitcoin is really worth may no longer be such a mystery ,-0.0697
32,"Apr 18, 2018 ", bitcoin whale sightings are leaving cryptocurrency traders jumpy ,-0.25
33,"Apr 18, 2018 ", bolivar to bitcoin market hits record $1 million per day ,0.0
34,"Apr 18, 2018 ", iceland: bitcoin heist suspect has likely fled to sweden ,-0.296
35,"Apr 18, 2018 ", kevin warsh and stan druckenmiller just invested in a cryptocurrency that's designed to be boring ,-0.3182
36,"Apr 18, 2018 ", barclays hints at a crypto future. expect big banks to follow. ,0.0
37,"Apr 17, 2018 ", fundstrat's tom lee sees bitcoin at $25k by year end ,0.0
